Country,Code,Year,Stunt,Stunting
Albania,ALB,2000,39.20000076,39.2
Algeria,DZA,2000,23.60000038,23.6
Armenia,ARM,2000,17.29999924,17.3
Azerbaijan,AZE,2000,24.20000076,24.2
Bangladesh,BGD,2000,51.09999847,51.1
Bosnia and Herzegovina,BIH,2000,12.10000038,12.1
Botswana,BWA,2000,29.10000038,29.1
Burundi,BDI,2000,64,64
Cambodia,KHM,2000,49,49
Central African Republic,CAF,2000,44.40000153,44.4
Chad,TCD,2000,38.90000153,38.9
China,CHN,2000,17.79999924,17.8
Colombia,COL,2000,18.20000076,18.2
Comoros,COM,2000,46.90000153,46.9
Cuba,CUB,2000,7,7
Dominican Republic,DOM,2000,7.699999809,7.7
Egypt,EGY,2000,24.39999962,24.4
Equatorial Guinea,GNQ,2000,42.70000076,42.7
Eswatini,SWZ,2000,36.5,36.5
Ethiopia,ETH,2000,57.40000153,57.4
Gabon,GAB,2000,25.89999962,25.9
Gambia,GMB,2000,24.10000038,24.1
Guatemala,GTM,2000,51,51
Guinea-Bissau,GNB,2000,33.79999924,33.8
Guyana,GUY,2000,13.89999962,13.9
Haiti,HTI,2000,28.79999924,28.8
Indonesia,IDN,2000,42.40000153,42.4
Iraq,IRQ,2000,28.10000038,28.1
Jamaica,JAM,2000,7.199999809,7.2
Kenya,KEN,2000,40.79999924,40.8
Laos,LAO,2000,47.5,47.5
Liberia,LBR,2000,45.29999924,45.3
Malawi,MWI,2000,54.70000076,54.7
Mauritania,MRT,2000,38.59999847,38.6
Mongolia,MNG,2000,29.79999924,29.8
Myanmar,MMR,2000,40.79999924,40.8
Namibia,NAM,2000,29.29999924,29.3
Niger,NER,2000,53.5,53.5
North Korea,PRK,2000,51,51
Palestine,PSE,2000,10.69999981,10.7
Peru,PER,2000,31.29999924,31.3
Romania,ROU,2000,12.80000019,12.8
Rwanda,RWA,2000,47.90000153,47.9
Senegal,SEN,2000,26,26
Sierra Leone,SLE,2000,35.5,35.5
Singapore,SGP,2000,4.400000095,4.4
Sri Lanka,LKA,2000,18.29999924,18.3
Suriname,SUR,2000,14.10000038,14.1
Syria,SYR,2000,24.29999924,24.3
Tajikistan,TJK,2000,42.09999847,42.1
Trinidad and Tobago,TTO,2000,5.300000191,5.3
Tunisia,TUN,2000,16.79999924,16.8
Turkmenistan,TKM,2000,28.10000038,28.1
Uganda,UGA,2000,44.90000153,44.9
Ukraine,UKR,2000,22.89999962,22.9
United States of America,USA,2000,3.200000048,3.2
Venezuela,VEN,2000,17.39999962,17.4
Vietnam,VNM,2000,43.20000076,43.2
